Airport,DateTime,Type_METAR,Dewpoint_METAR (C),Temperature_METAR (C),Visibility_METAR (km),Ceiling_METAR (ft),Wind_speed_METAR (kt),Wind_direction_METAR (degrees),Weather_METAR ,Flight_category_METAR,Type_TAF,Visibility_TAF (km),Ceiling_TAF (ft),Wind_speed_TAF (kt),Wind_direction_TAF (ddegrees),Weather_TAF,Flight_category_TAF,Altitude (ft),Latitude (degrees),Longitude (degrees),Distance (km),Error_type,Koppen Climate Classification
KSAT,2024-11-12 00:00:00,METAR,16.7,26.7,10+,100000,5,160,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,4.57,Correct - No error (0),Cfa
KSAT,2024-10-19 18:00:00,METAR,16.7,27.2,10+,100000,10,120,None reported,VFR,TAF,6+,100000,8,120,None reported,VFR,809,29.533694,'-98.469778,13.68,Correct - No error (0),Cfa
KSAT,2024-10-19 11:58:00,METAR,15.6,20,10+,3000,7,90,None reported,MVFR,TAF,6+,2700,8,90,None reported,MVFR,809,29.533694,'-98.469778,13.68,Correct - No error (0),Cfa
KSAT,2024-10-19 06:00:00,METAR,16.7,21.1,10+,2100,9,100,None reported,MVFR,TAF,6+,2300,7,100,None reported,MVFR,809,29.533694,'-98.469778,13.68,Correct - No error (0),Cfa
KSAT,2024-10-19 00:00:00,METAR,15,26.1,10+,6500,13,120,None reported,VFR,TAF,6+,15000,13,130,None reported,VFR,809,29.533694,'-98.469778,13.68,Correct - No error (0),Cfa
KSAT,2024-10-18 18:00:00,METAR,16.1,21.7,10+,11000,3,70,'-RA,VFR,TAF,6+,10000,8,110,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-18 12:00:00,METAR,11.7,16.1,10+,10000,6,90,None reported,VFR,TAF,6+,10000,8,100,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-18 06:00:00,METAR,12.2,17.8,10+,100000,11,110,None reported,VFR,TAF,6+,100000,10,130,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-18 00:00:00,METAR,8.9,23.9,10+,6000,10,120,None reported,VFR,TAF,6+,6000,9,120,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-17 18:00:00,METAR,8.3,22.8,10+,4600,10,110,None reported,VFR,TAF,6+,100000,7,100,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-17 12:00:00,METAR,1.7,12.8,10+,100000,5,50,None reported,VFR,TAF,6+,100000,4,40,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-17 06:00:00,METAR,0.6,16.1,10+,100000,6,90,None reported,VFR,TAF,6+,100000,7,70,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-17 00:00:00,METAR,3.3,21.7,10+,100000,13,60,None reported,VFR,TAF,6+,100000,10,70,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-16 18:00:00,METAR,6.7,22.2,10+,100000,13,80,None reported,VFR,TAF,6+,100000,15,60,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-16 12:00:00,METAR,14,21,10+,100000,12,40,None reported,VFR,TAF,6+,100000,15,50,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-16 00:00:00,METAR,6.1,30.6,10+,100000,6,140,None reported,VFR,TAF,6+,100000,4,350,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-15 18:00:00,METAR,8.3,32.2,10+,100000,7,270,None reported,VFR,TAF,6+,100000,4,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-15 12:00:00,METAR,9.4,17.8,10+,100000,3,310,None reported,VFR,TAF,6+,100000,7,220,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-15 06:00:00,METAR,9.4,23.9,10+,100000,0,0,None reported,VFR,TAF,6+,100000,6,250,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-15 00:00:00,METAR,8.9,31.7,10+,100000,7,100,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-14 18:00:00,METAR,12.2,34.4,10+,100000,6,330,None reported,VFR,TAF,6+,100000,6,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-14 12:00:00,METAR,10,22.8,10+,100000,8,260,None reported,VFR,TAF,6+,100000,6,330,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-14 06:00:00,METAR,11.1,25,10+,100000,4,220,None reported,VFR,TAF,6+,100000,4,230,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-14 00:00:00,METAR,8.9,33.3,10+,100000,7,180,None reported,VFR,TAF,6+,100000,4,230,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-13 18:00:00,METAR,16.1,31.7,10+,100000,11,210,None reported,VFR,TAF,6+,100000,6,200,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-13 12:00:00,METAR,18.3,20.6,10+,100000,5,250,None reported,VFR,TAF,6+,100000,10,220,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-13 06:00:00,METAR,18.9,24.4,10+,100000,11,190,None reported,VFR,TAF,6+,100000,5,220,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-13 00:00:00,METAR,10.6,31.7,10+,100000,7,180,None reported,VFR,TAF,6+,100000,6,180,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-12 18:00:00,METAR,16.1,29.4,10+,100000,10,230,None reported,VFR,TAF,6+,100000,6,220,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-12 12:00:00,METAR,16.7,18.9,10+,100000,3,290,None reported,VFR,TAF,6+,100000,10,220,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-12 06:00:00,METAR,16.7,23.9,10+,100000,8,190,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-12 00:00:00,METAR,10.6,30.6,10+,100000,9,140,None reported,VFR,TAF,6+,100000,9,160,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-11 18:00:00,METAR,16.1,28.9,10+,100000,0,0,None reported,VFR,TAF,6+,100000,7,150,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-11 12:00:00,METAR,15,18.9,10+,100000,3,320,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-11 06:00:00,METAR,14.4,25,10+,100000,8,150,None reported,VFR,TAF,6+,100000,5,130,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-11 00:00:00,METAR,10.6,31.7,10+,100000,5,120,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-10 18:00:00,METAR,11.1,32.2,10+,100000,0,0,None reported,VFR,TAF,6+,100000,5,170,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-10 12:00:00,METAR,10,17.8,10+,100000,3,310,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-10 06:00:00,METAR,11.7,21.1,10+,100000,5,310,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-10 00:00:00,METAR,10,31.1,10+,100000,8,110,None reported,VFR,TAF,6+,100000,4,120,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-09 18:00:00,METAR,10.6,28.9,10+,100000,0,0,None reported,VFR,TAF,6+,100000,7,80,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-09 12:00:00,METAR,8.9,18.9,10+,100000,4,20,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-09 06:00:00,METAR,12.2,24.4,10+,100000,6,60,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-09 00:00:00,METAR,12.8,31.7,10+,100000,8,60,None reported,VFR,TAF,6+,100000,12,40,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-08 18:00:00,METAR,15.6,33.3,10+,100000,4,VRB,None reported,VFR,TAF,6+,100000,8,50,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-08 12:00:00,METAR,13.3,19.4,10+,100000,4,280,None reported,VFR,TAF,6+,100000,4,310,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-08 06:00:00,METAR,13.3,24.4,10+,100000,0,0,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-08 00:00:00,METAR,13.3,31.1,10+,100000,8,50,None reported,VFR,TAF,6+,100000,12,70,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-07 18:00:00,METAR,12.2,32.8,10+,100000,16,100,None reported,VFR,TAF,6+,100000,10,70,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-07 12:00:00,METAR,15,20.6,10+,100000,5,320,None reported,VFR,TAF,6+,100000,4,360,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-07 06:00:00,METAR,15.6,25,10+,100000,4,30,None reported,VFR,TAF,6+,100000,4,360,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-07 00:00:00,METAR,14.4,30.6,10+,100000,4,20,None reported,VFR,TAF,6+,100000,8,50,None reported,VFR,809,29.533694,'-98.469778,3.41,Correct - No error (0),Cfa
KSAT,2024-10-06 18:00:00,METAR,17.2,31.1,10+,100000,4,VRB,None reported,VFR,TAF,6+,100000,7,50,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-06 12:00:00,METAR,18.9,21.7,10+,100000,0,0,None reported,VFR,TAF,6+,1500,3,VRB,None reported,MVFR,809,29.533694,'-98.469778,5.98,False Alarm - Type I (1) error,Cfa
KSAT,2024-10-06 06:00:00,METAR,19.4,25,10+,100000,5,100,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-06 00:00:00,METAR,17.2,31.7,10+,100000,4,80,None reported,VFR,TAF,6+,100000,6,40,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-05 18:00:00,METAR,19.4,31.7,10+,4600,8,60,None reported,VFR,TAF,6+,100000,10,70,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-05 12:00:00,METAR,16.1,22.2,10+,100000,4,320,None reported,VFR,TAF,6+,5000,5,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-05 06:00:00,METAR,13.9,25.6,10+,6000,4,20,None reported,VFR,TAF,6+,5000,6,40,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-05 00:00:00,METAR,13.3,31.1,10+,100000,7,70,None reported,VFR,TAF,6+,10000,8,80,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-04 18:00:00,METAR,14.4,32.2,10+,10000,11,10,None reported,VFR,TAF,6+,100000,11,60,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-04 12:00:00,METAR,16.7,21.1,10+,100000,6,320,None reported,VFR,TAF,6+,100000,6,360,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-04 06:00:00,METAR,16.7,24.4,10+,100000,0,0,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-04 00:00:00,METAR,15,31.7,10+,100000,5,100,None reported,VFR,TAF,6+,100000,6,110,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-03 18:00:00,METAR,18.3,30.6,10+,100000,5,VRB,None reported,VFR,TAF,6+,100000,6,110,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-03 12:00:00,METAR,17.2,20.6,10+,100000,4,300,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-03 06:00:00,METAR,17.8,25,10+,100000,7,150,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-03 00:00:00,METAR,14.4,31.7,10+,100000,8,90,None reported,VFR,TAF,6+,100000,6,80,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-02 18:00:00,METAR,16.1,31.7,10+,100000,6,120,None reported,VFR,TAF,6+,100000,8,70,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-02 12:00:00,METAR,14.4,21.7,10+,100000,3,350,None reported,VFR,TAF,6+,100000,5,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-02 06:00:00,METAR,12.2,25.6,10+,100000,5,20,None reported,VFR,TAF,6+,100000,7,20,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-02 00:00:00,METAR,12.8,32.8,10+,100000,6,90,None reported,VFR,TAF,6+,100000,8,30,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-01 18:00:00,METAR,17.8,32.2,10+,100000,4,VRB,None reported,VFR,TAF,6+,100000,8,40,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-01 12:00:00,METAR,15.6,20,10+,100000,5,300,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-01 06:00:00,METAR,16.1,23.9,10+,100000,3,100,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-10-01 00:00:00,METAR,12.2,33.3,10+,100000,7,140,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-30 18:00:00,METAR,13.9,31.7,10+,100000,5,VRB,None reported,VFR,TAF,6+,100000,4,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-30 12:00:00,METAR,11.1,18.9,10+,100000,4,300,None reported,VFR,TAF,6+,100000,4,300,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-30 06:00:00,METAR,9.4,21.7,10+,100000,4,280,None reported,VFR,TAF,6+,100000,3,330,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-30 00:00:00,METAR,8.9,32.8,10+,100000,5,10,None reported,VFR,TAF,6+,100000,6,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-29 18:00:00,METAR,10.6,33.3,10+,100000,6,320,None reported,VFR,TAF,6+,100000,8,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-29 12:00:00,METAR,10.6,17.8,10+,100000,5,300,None reported,VFR,TAF,6+,100000,5,300,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-29 06:00:00,METAR,10.6,23.3,10+,100000,3,290,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-29 00:00:00,METAR,10.6,32.8,10+,100000,8,10,None reported,VFR,TAF,6+,100000,7,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-28 18:00:00,METAR,11.1,33.9,10+,100000,9,350,None reported,VFR,TAF,6+,100000,8,360,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-28 12:00:00,METAR,11.7,18.3,10+,100000,6,290,None reported,VFR,TAF,6+,100000,4,310,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-28 06:00:00,METAR,11.7,23.9,10+,100000,0,0,None reported,VFR,TAF,6+,100000,0,0,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-28 00:00:00,METAR,11.1,32.8,10+,100000,7,50,None reported,VFR,TAF,6+,100000,8,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-27 18:00:00,METAR,12.2,31.7,10+,100000,6,20,None reported,VFR,TAF,6+,100000,8,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-27 12:00:00,METAR,10.6,17.2,10+,100000,6,300,None reported,VFR,TAF,6+,100000,4,310,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-27 06:00:00,METAR,11.1,21.1,10+,100000,0,0,None reported,VFR,TAF,6+,100000,5,310,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-27 00:00:00,METAR,10,30.6,10+,100000,8,30,None reported,VFR,TAF,6+,100000,8,350,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-26 18:00:00,METAR,15,30,10+,100000,6,VRB,None reported,VFR,TAF,6+,100000,10,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-26 12:00:00,METAR,14.4,19.4,10+,100000,6,340,None reported,VFR,TAF,6+,100000,6,340,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-26 06:00:00,METAR,15.6,22.8,10+,100000,5,20,None reported,VFR,TAF,6+,100000,9,20,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-26 00:00:00,METAR,16.1,30.6,10+,100000,14,30,None reported,VFR,TAF,6+,100000,12,10,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-25 17:58:00,METAR,20.6,35,10+,9000,10,10,None reported,VFR,TAF,6+,100000,10,350,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-25 12:00:00,METAR,22.2,24.4,10+,100000,3,280,None reported,VFR,TAF,6+,100000,3,240,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-25 06:00:00,METAR,21.7,26.7,10+,100000,5,170,None reported,VFR,TAF,6+,100000,7,180,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-25 00:00:00,METAR,18.9,33.3,10+,100000,4,130,None reported,VFR,TAF,6+,100000,5,120,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-24 18:00:00,METAR,20.6,32.2,10+,25000,5,VRB,None reported,VFR,TAF,6+,100000,5,110,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-24 12:00:00,METAR,20.6,23.9,10+,100000,4,310,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-24 06:00:00,METAR,20.6,27.2,10+,100000,4,90,None reported,VFR,TAF,6+,100000,5,40,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-24 00:00:00,METAR,18.3,32.8,10+,100000,5,90,None reported,VFR,TAF,6+,10000,4,60,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-23 18:00:00,METAR,20.6,31.7,10+,4000,3,VRB,None reported,VFR,TAF,6+,100000,5,200,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-23 12:00:00,METAR,23.3,25.6,10+,1300,4,180,None reported,MVFR,TAF,6+,2500,6,180,None reported,MVFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-23 06:00:00,METAR,21.7,26.7,10+,100000,6,120,None reported,VFR,TAF,6+,25000,8,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-23 00:00:00,METAR,19.4,33.9,10+,100000,10,130,None reported,VFR,TAF,6+,100000,10,130,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-19 18:00:00,METAR,23.3,31.7,10+,5500,4,140,None reported,VFR,TAF,6+,100000,9,170,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-19 12:00:00,METAR,24.4,26.7,10+,1100,6,170,None reported,MVFR,TAF,6+,1200,8,160,None reported,MVFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-19 06:00:00,METAR,23.9,27.2,10+,1700,8,150,None reported,MVFR,TAF,6+,100000,13,140,None reported,VFR,809,29.533694,'-98.469778,5.98,Fail to Detect - Type II (2) error,Cfa
KSAT,2024-09-19 00:00:00,METAR,21.1,34.4,10+,6000,9,130,None reported,VFR,TAF,6+,6000,8,120,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-18 18:00:00,METAR,22.2,32.8,10+,4100,9,170,None reported,VFR,TAF,6+,100000,9,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-18 12:00:00,METAR,23.3,26.1,10+,1100,9,170,None reported,MVFR,TAF,6+,1100,7,180,None reported,MVFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-18 06:00:00,METAR,22.8,27.2,10+,100000,11,160,None reported,VFR,TAF,6+,100000,8,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-18 00:00:00,METAR,18.3,33.9,10+,100000,7,110,None reported,VFR,TAF,6+,100000,7,140,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-17 18:00:00,METAR,22.2,32.2,10+,100000,8,150,None reported,VFR,TAF,6+,100000,7,140,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-17 12:00:00,METAR,20.6,25,10+,100000,0,0,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-17 06:00:00,METAR,21.1,27.8,10+,100000,0,0,None reported,VFR,TAF,6+,100000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-17 00:00:00,METAR,19.4,34.4,10+,100000,8,150,None reported,VFR,TAF,6+,100000,6,130,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-16 18:00:00,METAR,21.1,32.8,10+,100000,4,VRB,None reported,VFR,TAF,6+,100000,6,130,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-16 12:00:00,METAR,21.1,23.3,10+,100000,0,0,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-16 06:00:00,METAR,22.2,27.2,10+,100000,3,180,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-16 00:00:00,METAR,16.7,33.3,10+,100000,9,180,None reported,VFR,TAF,6+,100000,7,180,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-15 18:00:00,METAR,23.3,32.2,10+,3300,6,170,None reported,VFR,TAF,6+,100000,4,160,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-15 12:00:00,METAR,23.9,26.1,10+,19000,3,150,None reported,VFR,TAF,6+,25000,3,VRB,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-15 06:00:00,METAR,22.2,28.3,10+,19000,11,160,None reported,VFR,TAF,6+,25000,5,160,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-15 00:00:00,METAR,20,33.9,10+,25000,6,90,None reported,VFR,TAF,6+,25000,6,120,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-14 18:00:00,METAR,22.8,31.7,10+,25000,7,210,None reported,VFR,TAF,6+,25000,9,160,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-14 12:00:00,METAR,23.3,25.6,10+,1100,6,190,None reported,MVFR,TAF,6+,1000,4,180,None reported,MVFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-14 06:00:00,METAR,20.6,28.9,10+,25000,7,170,None reported,VFR,TAF,6+,25000,6,160,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-14 00:00:00,METAR,18.9,34.4,10+,100000,7,160,None reported,VFR,TAF,6+,100000,8,150,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-13 18:00:00,METAR,22.8,32.2,10+,100000,5,220,None reported,VFR,TAF,6+,100000,7,180,None reported,VFR,809,29.533694,'-98.469778,5.98,Correct - No error (0),Cfa
KSAT,2024-09-13 12:00:00,METAR,19.4,22.8,10+,1300,3,110,None reported,MVFR,TAF,6+,100000,4,70,None reported,VFR,809,29.533694,'-98.469778,5.98,Fail to Detect - Type II (2) error,Cfa
